id,name,light years from earth,planet mass,stellar magnitude,dicovery date
0,11 Comae Berenices b,,,,
1,11 Ursae Minoris b,,,,
2,14 Andromedae b,,,,
3,14 Herculis b,,,,
4,16 Cygni B b,,,,
5,17 Scorpii b,,,,
6,18 Delphini b,,,,
7,1RXS J160929.1-210524 b,,,,
8,24 Bootis b,,,,
9,24 Sextantis b,,,,
10,24 Sextantis c,,,,
11,2M0437 b,,,,
12,2MASS J01033563-5515561 AB b,,,,
13,2MASS J01225093-2439505 b,,,,
14,2MASS J02192210-3925225 b,,,,
15,2MASS J04414489+2301513 b,,,,
16,2MASS J12073346-3932539 b,,,,
17,2MASS J19383260+4603591 b,,,,
18,2MASS J22362452+4751425 b,,,,
19,30 Arietis B b,,,,
20,42 Draconis b,,,,
21,47 Ursae Majoris b,,,,
22,47 Ursae Majoris c,,,,
23,47 Ursae Majoris d,,,,
24,4 Ursae Majoris b,,,,
25,11 Comae Berenices b,,,,
26,11 Ursae Minoris b,,,,
27,14 Andromedae b,,,,
28,14 Herculis b,,,,
29,16 Cygni B b,,,,
30,17 Scorpii b,,,,
31,18 Delphini b,,,,
32,1RXS J160929.1-210524 b,,,,
33,24 Bootis b,,,,
34,24 Sextantis b,,,,
35,24 Sextantis c,,,,
36,2M0437 b,,,,
37,2MASS J01033563-5515561 AB b,,,,
38,2MASS J01225093-2439505 b,,,,
39,2MASS J02192210-3925225 b,,,,
40,2MASS J04414489+2301513 b,,,,
41,2MASS J12073346-3932539 b,,,,
42,2MASS J19383260+4603591 b,,,,
43,2MASS J22362452+4751425 b,,,,
44,30 Arietis B b,,,,
45,42 Draconis b,,,,
46,47 Ursae Majoris b,,,,
47,47 Ursae Majoris c,,,,
48,47 Ursae Majoris d,,,,
49,4 Ursae Majoris b,,,,
50,51 Eridani b,,,,
51,51 Pegasi b,,,,
52,55 Cancri b,,,,
53,55 Cancri c,,,,
54,55 Cancri d,,,,
55,55 Cancri e,,,,
56,55 Cancri f,,,,
57,61 Virginis b,,,,
58,61 Virginis c,,,,
59,61 Virginis d,,,,
60,6 Lyncis b,,,,
61,70 Virginis b,,,,
62,75 Ceti b,,,,
63,7 Canis Majoris b,,,,
64,7 Canis Majoris c,,,,
65,81 Ceti b,,,,
66,8 Ursae Minoris b,,,,
67,91 Aquarii b,,,,
68,AB Aurigae b,,,,
69,AB Pictoris b,,,,
70,Alpha Arietis b,,,,
71,Alpha Tauri b,,,,
72,AU Microscopii b,,,,
73,AU Microscopii c,,,,
74,b Centauri AB b,,,,
75,51 Eridani b,,,,
76,51 Pegasi b,,,,
77,55 Cancri b,,,,
78,55 Cancri c,,,,
79,55 Cancri d,,,,
80,55 Cancri e,,,,
81,55 Cancri f,,,,
82,61 Virginis b,,,,
83,61 Virginis c,,,,
84,61 Virginis d,,,,
85,6 Lyncis b,,,,
86,70 Virginis b,,,,
87,75 Ceti b,,,,
88,7 Canis Majoris b,,,,
89,7 Canis Majoris c,,,,
90,81 Ceti b,,,,
91,8 Ursae Minoris b,,,,
92,91 Aquarii b,,,,
93,AB Aurigae b,,,,
94,AB Pictoris b,,,,
95,Alpha Arietis b,,,,
96,Alpha Tauri b,,,,
97,AU Microscopii b,,,,
98,AU Microscopii c,,,,
99,b Centauri AB b,,,,
100,BD-00 4475 b,,,,
101,BD+03 2562 b,,,,
102,BD-06 1339 b,,,,
103,BD-06 1339 c,,,,
104,BD-08 2823 b,,,,
105,BD-08 2823 c,,,,
106,BD-10 3166 b,,,,
107,BD-11 4672 b,,,,
108,BD-11 4672 c,,,,
109,BD-13 2130 b,,,,
110,BD+14 4559 b,,,,
111,BD+15 2375 b,,,,
112,BD+15 2940 b,,,,
113,BD-17 63 b,,,,
114,BD+20 2457 b,,,,
115,BD+20 2457 c,,,,
116,BD+20 274 b,,,,
117,BD+20 594 b,,,,
118,BD+45 564 b,,,,
119,BD+48 738 b,,,,
120,BD+48 740 b,,,,
121,BD+49 828 b,,,,
122,BD+55 362 b,,,,
123,BD+60 1417 b,,,,
124,BD+63 1405 b,,,,
125,Beta Cancri b,,,,
126,Beta Pictoris b,,,,
127,Beta Pictoris c,,,,
128,Beta Ursae Minoris b,,,,
129,CD Ceti b,,,,
130,CFBDSIR J145829+101343 b,,,,
131,CFHTWIR-Oph 98 b,,,,
132,CHXR 73 b,,,,
133,CI Tauri b,,,,
134,COCONUTS-2 b,,,,
135,CoRoT-10 b,,,,
136,CoRoT-11 b,,,,
137,CoRoT-12 b,,,,
138,CoRoT-13 b,,,,
139,CoRoT-14 b,,,,
140,CoRoT-16 b,,,,
141,CoRoT-17 b,,,,
142,CoRoT-18 b,,,,
143,CoRoT-19 b,,,,
144,CoRoT-1 b,,,,
145,CoRoT-20 b,,,,
146,CoRoT-20 c,,,,
147,CoRoT-21 b,,,,
148,CoRoT-22 b,,,,
149,CoRoT-23 b,,,,
150,Beta Cancri b,,,,
151,Beta Pictoris b,,,,
152,Beta Pictoris c,,,,
153,Beta Ursae Minoris b,,,,
154,CD Ceti b,,,,
155,CFBDSIR J145829+101343 b,,,,
156,CFHTWIR-Oph 98 b,,,,
157,CHXR 73 b,,,,
158,CI Tauri b,,,,
159,COCONUTS-2 b,,,,
160,CoRoT-10 b,,,,
161,CoRoT-11 b,,,,
162,CoRoT-12 b,,,,
163,CoRoT-13 b,,,,
164,CoRoT-14 b,,,,
165,CoRoT-16 b,,,,
166,CoRoT-17 b,,,,
167,CoRoT-18 b,,,,
168,CoRoT-19 b,,,,
169,CoRoT-1 b,,,,
170,CoRoT-20 b,,,,
171,CoRoT-20 c,,,,
172,CoRoT-21 b,,,,
173,CoRoT-22 b,,,,
174,CoRoT-23 b,,,,
175,CoRoT-24 b,,,,
176,CoRoT-24 c,,,,
177,CoRoT-25 b,,,,
178,CoRoT-26 b,,,,
179,CoRoT-27 b,,,,
180,CoRoT-28 b,,,,
181,CoRoT-29 b,,,,
182,CoRoT-2 b,,,,
183,CoRoT-30 b,,,,
184,CoRoT-31 b,,,,
185,CoRoT-35 b,,,,
186,CoRoT-36 b,,,,
187,CoRoT-3 b,,,,
188,CoRoT-4 b,,,,
189,CoRoT-5 b,,,,
190,CoRoT-6 b,,,,
191,CoRoT-7 b,,,,
192,CoRoT-7 c,,,,
193,CoRoT-7 d,,,,
194,CoRoT-8 b,,,,
195,CoRoT-9 b,,,,
196,CoRoTID 223977153 b,,,,
197,CT Chamaleontis b,,,,
198,DE Canum Venaticorum b,,,,
199,DENIS-P J082303.1-491201 b,,,,
200,DH Tauri b,,,,
201,DMPP-1 b,,,,
202,DMPP-1 c,,,,
203,DMPP-1 d,,,,
204,DMPP-1 e,,,,
205,DMPP-2 b,,,,
206,DMPP-3 A b,,,,
207,DP Leonis b,,,,
208,DS Tucanae A b,,,,
209,EPIC 201170410.02,,,,
210,EPIC 201238110 b,,,,
211,EPIC 201427007 b,,,,
212,EPIC 201497682 b,,,,
213,EPIC 201595106 b,,,,
214,EPIC 201615463 c,,,,
215,EPIC 201754305 d,,,,
216,EPIC 201757695.02,,,,
217,EPIC 201833600 c,,,,
218,EPIC 201841433 b,,,,
219,EPIC 205950854 c,,,,
220,EPIC 206024342 b,,,,
221,EPIC 206024342 c,,,,
222,EPIC 206024342 d,,,,
223,EPIC 206032309 b,,,,
224,EPIC 206042996 b,,,,
225,DH Tauri b,,,,
226,DMPP-1 b,,,,
227,DMPP-1 c,,,,
228,DMPP-1 d,,,,
229,DMPP-1 e,,,,
230,DMPP-2 b,,,,
231,DMPP-3 A b,,,,
232,DP Leonis b,,,,
233,DS Tucanae A b,,,,
234,EPIC 201170410.02,,,,
235,EPIC 201238110 b,,,,
236,EPIC 201427007 b,,,,
237,EPIC 201497682 b,,,,
238,EPIC 201595106 b,,,,
239,EPIC 201615463 c,,,,
240,EPIC 201754305 d,,,,
241,EPIC 201757695.02,,,,
242,EPIC 201833600 c,,,,
243,EPIC 201841433 b,,,,
244,EPIC 205950854 c,,,,
245,EPIC 206024342 b,,,,
246,EPIC 206024342 c,,,,
247,EPIC 206024342 d,,,,
248,EPIC 206032309 b,,,,
249,EPIC 206042996 b,,,,
